127.0.0.1 - - [11/Apr/2019:09:37:06 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [11/Apr/2019:09:37:08 +0900] "GET /WebJSP/Ex18_Cookie_Basic.jsp HTTP/1.1" 200 922
0:0:0:0:0:0:0:1 - - [11/Apr/2019:09:37:08 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [11/Apr/2019:09:41:40 +0900] "GET /WebJSP/Ex18_Cookie_Basic.jsp HTTP/1.1" 200 922
0:0:0:0:0:0:0:1 - - [11/Apr/2019:09:42:26 +0900] "GET /WebJSP/Ex18_Cookie_Basic.jsp HTTP/1.1" 200 922
0:0:0:0:0:0:0:1 - - [11/Apr/2019:09:42:34 +0900] "GET /WebJSP/Ex18_Cookie_Basic.jsp HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [11/Apr/2019:09:48:00 +0900] "GET /WebJSP/Ex18_Cookie_Basic.jsp HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [11/Apr/2019:09:48:20 +0900] "GET /WebJSP/Ex18_Cookie_Basic.jsp HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [11/Apr/2019:09:48:21 +0900] "GET /WebJSP/Ex18_Cookie_Basic.jsp HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [11/Apr/2019:09:58:32 +0900] "GET /WebJSP/Ex18_File_Cookie_Read.jsp HTTP/1.1" 500 2812
0:0:0:0:0:0:0:1 - - [11/Apr/2019:09:58:32 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [11/Apr/2019:09:58:41 +0900] "GET /WebJSP/Ex18_File_Cookie_Read.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [11/Apr/2019:09:59:03 +0900] "GET /WebJSP/Ex18_File_Cookie_Write.jsp HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [11/Apr/2019:09:59:05 +0900] "GET /WebJSP/Ex18_File_Cookie_Read.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [11/Apr/2019:09:59:32 +0900] "GET /WebJSP/Ex18_File_Cookie_Read.jsp HTTP/1.1" 500 2812
0:0:0:0:0:0:0:1 - - [11/Apr/2019:09:59:33 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [11/Apr/2019:09:59:34 +0900] "GET /WebJSP/Ex18_File_Cookie_Read.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [11/Apr/2019:10:03:30 +0900] "GET /WebJSP/Ex18_File_Cookie_Write.jsp HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [11/Apr/2019:10:03:32 +0900] "GET /WebJSP/Ex18_File_Cookie_Read.jsp HTTP/1.1" 200 193
